vehicle_number,driver_name,vehicle_manufacturer,leader_lap,lap_count,pit_in_flag_status,pit_out_flag_status,pit_in_race_time,pit_out_race_time,total_duration,box_stop_race_time,box_leave_race_time,pit_stop_duration,in_travel_duration,out_travel_duration,pit_stop_type,left_front_tire_changed,left_rear_tire_changed,right_front_tire_changed,right_rear_tire_changed,previous_lap_time,next_lap_time,race_id
36,Alex Labbe #,Chevrolet,141,140,1,1,10712.506,10762.775,50.269,10732.7333,10756.8239,24.0906,20.2273,5.951,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
93,Ryan Sieg,Chevrolet,140,139,2,2,10585.235,10667.559,82.3239,10601.3042,10655.7553,54.4511,16.0692,11.8036,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
19,Brandon Jones,Toyota,140,139,2,2,10576.436,10606.678,30.242,10587.585,10594.3918,6.8067,11.149,12.2861,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
88,Chase Elliott(i),Chevrolet,135,135,2,2,10071.986,10184.542,112.5559,10086.7849,10175.6731,88.8882,14.7989,8.8688,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
19,Brandon Jones,Toyota,135,134,2,2,9947.8529,10043.126,95.273,9959.1568,10030.4942,71.3374,11.3038,12.6317,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4714
90,Josh Williams,Chevrolet,135,134,2,2,9945.636,10040.754,95.118,9966.7309,10035.0988,68.3678,21.0949,5.6551,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
23,Spencer Gallagher,Chevrolet,135,134,2,2,9944.684,10016.083,71.399,9955.5198,10002.4663,46.9465,10.8358,13.6166,ONE_WHEEL_CHANGE,FALSE,FALSE,FALSE,TRUE,0,0,4714
52,David Starr,Chevrolet,135,134,2,2,9943.205,9976.4069,33.2019,9953.2161,9959.6239,6.4077,10.0111,16.783,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
93,Ryan Sieg,Chevrolet,134,133,2,2,9852.102,9898.784,46.6819,9869.1642,9886.1683,17.0041,17.0622,12.6156,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
01,Vinnie Miller #,Chevrolet,131,130,2,2,9550.968,9583.739,32.7709,9567.1563,9574.4302,7.2738,16.1883,9.3087,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
23,Spencer Gallagher,Chevrolet,130,129,2,2,9469.858,9542.718,72.86,9481.2012,9529.2823,48.0811,11.3432,13.4356,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4714
2,Matt Tifft,Chevrolet,130,129,2,2,9432.039,9467.007,34.9679,9440.8602,9451.504,10.6438,8.8212,15.5029,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
18,Daniel Suarez(i),Toyota,128,127,2,2,9298.642,9340.664,42.022,9316.4692,9334.4179,17.9486,17.8272,6.246,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
2,Matt Tifft,Chevrolet,126,125,2,2,8995.293,9042.929,47.636,9003.7466,9027.637,23.8903,8.4536,15.2919,TWO_WHEEL_CHANGE_LEFT,TRUE,TRUE,FALSE,FALSE,0,0,4714
2,Matt Tifft,Chevrolet,125,124,2,2,8785.673,8925.418,139.7449,8795.0333,8909.814,114.7806,9.3603,15.6039,TWO_WHEEL_CHANGE_RIGHT,FALSE,FALSE,TRUE,TRUE,0,0,4714
7,Justin Allgaier,Chevrolet,124,123,2,2,8669.776,0,0,8680.3994,8695.3994,15,10.6234,0,,FALSE,FALSE,FALSE,FALSE,0,0,4714
38,Jeff Green,Chevrolet,124,123,2,2,8634.598,8681.9,47.3019,8644.4149,8668.1051,23.6902,9.8169,13.7948,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
90,Josh Williams,Chevrolet,124,123,2,2,8619.665,8728.072,108.4069,8640.51,8722.1915,81.6815,20.845,5.8804,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
42,Kyle Larson(i),Chevrolet,123,123,2,2,8617.627,8667.229,49.6019,8633.3362,8659.2008,25.8645,15.7092,8.0281,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4714
28,Dylan Lupton,Ford,123,123,2,2,8617.251,8739.624,122.3729,8627.0966,8721.4908,94.3941,9.8456,18.1331,TWO_WHEEL_CHANGE_RIGHT,FALSE,FALSE,TRUE,TRUE,0,0,4714
2,Matt Tifft,Chevrolet,123,122,2,2,8485.485,8607.986,122.501,8496.8309,8592.0253,95.1943,11.3459,15.9606,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
7,Justin Allgaier,Chevrolet,123,122,2,2,8470.048,8581.775,111.7269,8482.2821,8566.5005,84.2184,12.2341,15.2744,TWO_WHEEL_CHANGE_RIGHT,TRUE,FALSE,TRUE,TRUE,0,0,4714
52,David Starr,Chevrolet,123,122,2,2,8466.14,8508.159,42.019,8477.4772,8491.3578,13.8806,11.3372,16.8011,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
55,Stephen Leicht,Toyota,123,122,2,2,8465.426,8526.561,61.135,8472.2052,8507.841,35.6357,6.7792,18.7199,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4714
38,Jeff Green,Chevrolet,123,122,2,2,8463.606,8537.007,73.4009,8475.3751,8522.6891,47.314,11.7691,14.3178,TWO_WHEEL_CHANGE_RIGHT,TRUE,FALSE,TRUE,FALSE,0,0,4714
35,Joey Gase,Chevrolet,122,121,2,2,8417.581,0,0,8455.0574,8684.8665,229.8091,37.4764,0,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4714
3,Austin Dillon(i),Chevrolet,122,121,2,2,8407.09,0,0,8424.2964,8439.2964,15,17.2064,0,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
15,Joe Nemechek(i),Chevrolet,122,121,2,2,8404.037,8756.456,352.4189,8419.4507,8745.9092,326.4585,15.4137,10.5467,TWO_WHEEL_CHANGE_LEFT,TRUE,TRUE,FALSE,FALSE,0,0,4714
19,Brandon Jones,Toyota,122,121,2,2,8352.689,8419.227,66.538,8364.061,8406.7369,42.6759,11.372,12.49,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4714
1,Elliott Sadler,Chevrolet,119,118,2,2,8042.444,8083.815,41.3709,8057.4823,8074.9661,17.4837,15.0383,8.8488,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
01,Vinnie Miller #,Chevrolet,119,116,2,2,8014.126,8096.893,82.7669,8030.9253,8087.9611,57.0358,16.7993,8.9318,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
1,Elliott Sadler,Chevrolet,118,117,2,2,7937.823,7983.811,45.9879,7952.7133,7975.5985,22.8851,14.8903,8.2124,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4714
40,Chad Finchum #,Toyota,114,112,2,2,7630.165,8206.766,576.6009,7651.3754,8199.5834,548.208,21.2104,7.1825,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
00,Cole Custer,Ford,113,112,2,2,7529.099,7616.561,87.4619,7535.1908,7598.5541,63.3633,6.0918,18.0068,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
0,Garrett Smithley,Chevrolet,113,112,2,2,7498.666,7532.32,33.6539,7516.0709,7524.2456,8.1747,17.4049,8.0743,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
40,Chad Finchum #,Toyota,113,111,2,2,7490.228,7566.523,76.295,7510.2652,7558.0459,47.7806,20.0372,8.477,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4714
38,Jeff Green,Chevrolet,113,112,2,2,7488.355,7515.655,27.3,7498.22,7501.7568,3.5367,9.865,13.8981,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
00,Cole Custer,Ford,112,111,2,2,7354.992,7468.418,113.4259,7361.0223,7450.8005,89.7782,6.0303,17.6174,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
01,Vinnie Miller #,Chevrolet,111,110,2,2,7286.505,7626.413,339.9079,7305.098,7617.6321,312.534,18.593,8.7808,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4714
00,Cole Custer,Ford,109,108,2,2,7067.093,7109.405,42.3119,7072.8053,7091.4905,18.6852,5.7123,17.9144,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
00,Cole Custer,Ford,108,107,2,2,6910.919,7009.68,98.761,6916.6463,6991.5539,74.9075,5.7273,18.126,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
38,Jeff Green,Chevrolet,108,106,2,2,6905.57,6939.137,33.567,6915.4117,6925.6886,10.2768,9.8417,13.4483,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
51,Jeremy Clements,Chevrolet,108,107,2,2,6904.979,6937.911,32.9319,6918.8818,6929.2922,10.4103,13.9028,8.6187,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
86,Brandon Brown,Chevrolet,108,107,2,2,6898.595,6995.893,97.2979,6907.3704,6978.1407,70.7702,8.7754,17.7522,TWO_WHEEL_CHANGE_LEFT,TRUE,TRUE,FALSE,FALSE,0,0,4714
0,Garrett Smithley,Chevrolet,107,106,2,2,6860.505,6913.248,52.7429,6876.5054,6906.0014,29.4959,16.0004,7.2465,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4714
5,Michael Annett,Chevrolet,107,106,2,2,6809.151,0,0,6816.0101,7031.9766,215.9664,6.8591,0,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
21,Daniel Hemric,Chevrolet,105,103,1,1,6669.148,6798.726,129.5779,6681.8065,6785.2756,103.4691,12.6585,13.4503,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
00,Cole Custer,Ford,103,102,2,2,6494.452,6550.446,55.9939,6500.4555,6532.2198,31.7643,6.0035,18.2261,TWO_WHEEL_CHANGE_LEFT,TRUE,TRUE,FALSE,FALSE,0,0,4714
21,Daniel Hemric,Chevrolet,103,102,2,2,6492.932,6564.79,71.858,6506.2945,6551.9059,45.6114,13.3625,12.884,TWO_WHEEL_CHANGE_RIGHT,FALSE,FALSE,TRUE,TRUE,0,0,4714
76,Spencer Boyd #,Chevrolet,103,102,2,2,6492.52,6660.919,168.3989,6515.637,6657.5522,141.9152,23.117,3.3667,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
2,Matt Tifft,Chevrolet,102,101,2,2,6381.162,6455.593,74.4309,6390.1102,6440.4932,50.3829,8.9482,15.0997,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
40,Chad Finchum #,Toyota,102,100,2,2,6365.917,6415.344,49.4269,6385.1721,6406.8935,21.7213,19.2551,8.4504,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
16,Ryan Reed,Ford,101,101,2,2,6352.236,6445.628,93.3919,6370.6237,6440.7591,70.1353,18.3877,4.8688,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4714
38,Jeff Green,Chevrolet,101,100,2,2,6350.0379,6464.872,114.834,6362.0487,6451.1028,89.0541,12.0107,13.7691,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
00,Cole Custer,Ford,101,100,2,2,6241.362,6356.433,115.0709,6247.1658,6338.1218,90.956,5.8038,18.3111,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
35,Joey Gase,Chevrolet,101,100,2,2,6240.232,6338.235,98.0029,6261.6466,6331.9138,70.2671,21.4146,6.3211,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
88,Chase Elliott(i),Chevrolet,101,100,2,2,6237.342,6277.968,40.626,6252.8046,6269.1206,16.316,15.4626,8.8473,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4714
1,Elliott Sadler,Chevrolet,101,100,2,2,6237.03,6267.963,30.9329,6253.6721,6259.678,6.0059,16.6421,8.2849,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
21,Daniel Hemric,Chevrolet,101,100,2,2,6236.477,6352.343,115.8659,6249.7683,6340.1905,90.4221,13.2913,12.1524,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4714
76,Spencer Boyd #,Chevrolet,101,100,2,2,6236.12,6337.09,100.97,6258.2099,6333.7232,75.5133,22.0899,3.3667,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4714
8,Caesar Bacarella,Toyota,101,100,2,2,6234.418,6273.183,38.765,6241.7938,6256.1078,14.3139,7.3758,17.0751,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
51,Jeremy Clements,Chevrolet,101,100,2,2,6233.695,6264.511,30.816,6247.7664,6255.4405,7.6741,14.0714,9.0704,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
2,Matt Tifft,Chevrolet,101,100,2,2,6228.66,6325.633,96.9729,6237.0559,6310.0922,73.0363,8.3959,15.5407,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
11,Ryan Truex,Chevrolet,101,100,2,2,6227.763,6324.942,97.179,6243.9293,6317.7664,73.8371,16.1663,7.1755,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4714
28,Dylan Lupton,Ford,100,100,2,2,6226.37,6267.844,41.474,6235.3208,6253.572,18.2511,8.9508,14.2719,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4714
38,Jeff Green,Chevrolet,100,99,2,2,6140.589,6234.765,94.176,6151.235,6221.7044,70.4694,10.646,13.0605,TWO_WHEEL_CHANGE_RIGHT,FALSE,FALSE,TRUE,TRUE,0,0,4714
5,Michael Annett,Chevrolet,100,99,2,2,6106.907,6727.387,620.4799,6114.6313,6208.1901,93.5587,7.7243,519.1968,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4714
00,Cole Custer,Ford,99,98,2,2,6025.072,6090.389,65.317,6033.2493,6071.9753,38.7259,8.1773,18.4136,TWO_WHEEL_CHANGE_RIGHT,FALSE,FALSE,TRUE,TRUE,0,0,4714
35,Joey Gase,Chevrolet,99,98,2,2,6015.84,6086.286,70.4459,6047.7301,6081.53,33.7998,31.8901,4.7559,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4714
88,Chase Elliott(i),Chevrolet,97,96,1,1,5902.264,0,0,5914.7825,5929.7825,15,12.5185,0,,FALSE,FALSE,FALSE,FALSE,0,0,4714
1,Elliott Sadler,Chevrolet,97,96,1,1,5901.758,0,0,5915.4707,5930.4707,15,13.7127,0,,FALSE,FALSE,FALSE,FALSE,0,0,4714
86,Brandon Brown,Chevrolet,84,83,2,2,5138.584,5197.235,58.6509,5146.9477,5180.9146,33.9668,8.3637,16.3203,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4714
2,Matt Tifft,Chevrolet,83,83,2,2,5129.283,5184.1,54.817,5139.1067,5168.4356,29.3289,9.8237,15.6643,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4714
21,Daniel Hemric,Chevrolet,83,83,2,2,5128.374,5175.064,46.69,5140.508,5163.3973,22.8892,12.134,11.6666,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4714
8,Caesar Bacarella,Toyota,83,83,2,2,5123.774,5154.84,31.0659,5130.9653,5137.7053,6.7399,7.1913,17.1346,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
01,Vinnie Miller #,Chevrolet,83,83,2,2,5123.022,5190.219,67.197,5139.4403,5180.7478,41.3074,16.4183,9.4711,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
0,Garrett Smithley,Chevrolet,83,83,2,2,5121.847,5154.409,32.5619,5138.8064,5146.7475,7.9411,16.9594,7.6614,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
93,Ryan Sieg,Chevrolet,83,83,2,2,5121.3,5152.071,30.7709,5134.5355,5141.0753,6.5397,13.2355,10.9956,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
78,Ryan Ellis,Toyota,83,83,2,2,5121.057,5165.5739,44.5169,5129.6974,5147.6151,17.9176,8.6404,17.9588,TWO_WHEEL_CHANGE_RIGHT,FALSE,FALSE,TRUE,TRUE,0,0,4714
55,Stephen Leicht,Toyota,83,82,2,2,5009.103,5044.785,35.6819,5015.8808,5026.8917,11.0108,6.7778,17.8932,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4714
