vehicle_number,driver_name,vehicle_manufacturer,leader_lap,lap_count,pit_in_flag_status,pit_out_flag_status,pit_in_race_time,pit_out_race_time,total_duration,box_stop_race_time,box_leave_race_time,pit_stop_duration,in_travel_duration,out_travel_duration,pit_stop_type,left_front_tire_changed,left_rear_tire_changed,right_front_tire_changed,right_rear_tire_changed,previous_lap_time,next_lap_time,pit_in_rank,pit_out_rank,positions_gained_lost,race_id
66,Ty Majeski,Toyota,22,22,2,2,1288.599,1317.807,29.208,1295.7705,1300.2418,4.4712,7.1715,17.5651,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,7,9,-2,5218
66,Ty Majeski,Toyota,42,42,2,2,2681.506,2793.164,111.658,2688.9927,2776.2706,87.2779,7.4867,16.8933,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,10,32,-22,5218
66,Ty Majeski,Toyota,44,43,2,2,2861.1439,2921.081,59.937,2869.7768,2904.3111,34.5342,8.6328,16.7698,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,32,32,0,5218
66,Ty Majeski,Toyota,64,64,2,2,4088.888,4131.294,42.4059,4096.325,4114.743,18.418,7.437,16.5509,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,22,28,-6,5218
66,Ty Majeski,Toyota,81,80,2,2,5127.299,5160.622,33.323,5135.4473,5143.255,7.8076,8.1483,17.3669,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,22,23,-1,5218
4,John Hunter Nemechek,Toyota,22,22,2,2,1286.5,1315.249,28.749,1297.8726,1303.9456,6.0729,11.3726,11.3033,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,1,6,-5,5218
4,John Hunter Nemechek,Toyota,42,42,2,2,2678.255,2718.799,40.5439,2689.5265,2708.0116,18.485,11.2715,10.7873,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,1,10,-9,5218
4,John Hunter Nemechek,Toyota,64,64,2,2,4080.46,4108.189,27.729,4092.0208,4097.3927,5.3719,11.5608,10.7962,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,1,5,-4,5218
4,John Hunter Nemechek,Toyota,99,99,2,2,6694.371,6825.021,130.6499,6717.1655,6812.2889,95.1234,22.7945,12.732,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,11,18,-7,5218
4,John Hunter Nemechek,Toyota,101,100,2,2,6936.947,7059.583,122.6359,6950.3719,7047.5149,97.143,13.4249,12.068,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,21,24,-3,5218
4,John Hunter Nemechek,Toyota,104,102,1,1,7270.252,7321.955,51.7029,7281.9454,7310.7569,28.8115,11.6934,11.198,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,21,23,-2,5218
18,Chandler Smith,Toyota,22,22,2,2,1286.784,1316.386,29.6019,1296.0708,1303.2115,7.1407,9.2868,13.1744,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,2,8,-6,5218
18,Chandler Smith,Toyota,42,42,2,2,2678.918,2723.303,44.3849,2688.1919,2708.3786,20.1866,9.2739,14.9243,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,3,18,-15,5218
18,Chandler Smith,Toyota,64,64,2,2,4086.495,4118.694,32.199,4096.7254,4105.4005,8.6751,10.2304,13.2934,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,17,18,-1,5218
18,Chandler Smith,Toyota,66,65,2,2,4219.0649,4263.898,44.833,4230.3276,4250.9478,20.6202,11.2626,12.9501,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,19,29,-10,5218
18,Chandler Smith,Toyota,100,99,2,2,6782.554,6944.388,161.8339,6793.8456,6931.0776,137.232,11.2916,13.3103,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,24,26,-2,5218
18,Chandler Smith,Toyota,102,101,2,2,7114.196,7164.626,50.43,7123.8833,7151.5886,27.7052,9.6873,13.0373,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,22,24,-2,5218
16,Tyler Ankrum,Toyota,22,22,2,2,1289.5429,1320.455,30.912,1305.4137,1312.2538,6.8401,15.8707,8.2011,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,10,13,-3,5218
16,Tyler Ankrum,Toyota,42,42,2,2,2680.1439,2722.302,42.158,2695.399,2714.4513,19.0522,15.255,7.8506,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,7,16,-9,5218
16,Tyler Ankrum,Toyota,64,64,2,2,4082.197,4113.151,30.9539,4097.2592,4104.7332,7.4739,15.0622,8.4177,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,6,8,-2,5218
52,Stewart Friesen,Toyota,22,22,2,2,1287.179,1315.667,28.4879,1297.906,1303.0781,5.172,10.727,12.5888,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,3,7,-4,5218
52,Stewart Friesen,Toyota,42,42,2,2,2685.203,2740.558,55.355,2696.9005,2727.631,30.7304,11.6975,12.9269,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,19,27,-8,5218
52,Stewart Friesen,Toyota,64,64,2,2,4084.495,4113.313,28.818,4095.2239,4100.7626,5.5387,10.7289,12.5503,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,12,9,3,5218
52,Stewart Friesen,Toyota,80,80,2,2,5123.775,5169.639,45.864,5135.147,5157.2689,22.1218,11.372,12.37,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,17,27,-10,5218
52,Stewart Friesen,Toyota,83,82,2,2,5384.4889,5414.8239,30.335,5396.0785,5401.8843,5.8058,11.5895,12.9396,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,23,30,-7,5218
52,Stewart Friesen,Toyota,102,101,2,2,6980.083,7116.404,136.321,6991.6805,7103.458,111.7774,11.5975,12.9459,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,12,20,-8,5218
51,Corey Heim #,Toyota,22,22,2,2,1287.516,1331.25,43.7339,1296.004,1313.7234,17.7193,8.488,17.5265,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4,21,-17,5218
51,Corey Heim #,Toyota,24,23,2,2,1427.8,1550.96,123.16,1436.8476,1536.7464,99.8988,9.0476,14.2135,TWO_WHEEL_CHANGE_RIGHT,FALSE,FALSE,TRUE,TRUE,0,0,23,32,-9,5218
