Number,NASCARDriverID,Driver,FullName,Manufacturer,Sponsor,OverAllAvg,OverAllAvgRank,BestLapTime,BestLapRank,Con5Lap,Con5LapRank,Con10Lap,Con10LapRank,Con15Lap,Con15LapRank,Con20Lap,Con20LapRank,Con25Lap,Con25LapRank,Con30Lap,Con30LapRank,PracticeName,race_id
52,4205,Friesen,Stewart Friesen,Tyt,Halmar International,30.6715455,1,30.384,3,30.52,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5226
38,4272,Smith,Zane Smith,Frd,Speedy Cash,30.739,2,30.293,2,30.696,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5226
41,4001,Chastain(i),Ross Chastain(i),Chv,Worldwide Express,30.7624286,3,30.419,4,30.581,2,30.731,1,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5226
4,4092,Nemechek,John Hunter Nemechek,Tyt,Tom Thumb/Albertson's,30.8128462,4,30.472,7,30.74,6,30.841,2,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5226
98,4268,Eckes,Christian Eckes,Tyt,AHI Facility Services/Curb Records,30.8916875,5,30.639,14,30.833,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5226
16,4296,Ankrum,Tyler Ankrum,Tyt,Toyota Tsusho,30.8931364,6,30.449,6,30.585,3,30.871,3,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5226
23,3978,Enfinger,Grant Enfinger,Chv,Champion Power Equipment,30.9394118,7,30.53,9,30.693,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5226
51,4387,Heim #,Corey Heim #,Tyt,JBL,30.9448333,8,30.533,10,31.072,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5226
66,4235,Majeski,Ty Majeski,Tyt,Road Ranger,30.945125,9,30.269,1,30.801,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5226
19,4297,Kraus,Derek Kraus,Chv,NAPA AutoCare,30.9637273,10,30.447,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5226
18,4312,Smith,Chandler Smith,Tyt,iBuyPower,31.0019375,11,30.681,16,30.894,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5226
88,694,Crafton,Matt Crafton,Tyt,Chi-Chi's/Menards,31.078125,12,30.675,15,30.935,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5226
15,4342,Gray,Tanner Gray,Frd,Ford Performance,31.090375,13,30.85,23,30.949,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5226
17,4070,Preece,Ryan Preece,Frd,Morton Buildings,31.0956471,14,30.727,19,30.936,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5226
91,4344,Howard,Colby Howard,Chv,Gates Hydraulics,31.1349091,15,30.495,8,30.895,12,31.068,4,31.126,1,NA,NA,NA,NA,NA,NA,Final Practice,5226
99,4107,Rhodes,Ben Rhodes,Tyt,Tenda,31.1415882,16,30.715,18,31.068,17,31.138,5,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5226
25,3916,Dibenedetto,Matt Dibenedetto,Chv,Rackley Roofing/WAR Shocks,31.1663333,17,30.754,20,30.877,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5226
42,4326,Hocevar,Carson Hocevar,Chv,Sparco,31.1918333,18,30.591,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5226
1,4366,Deegan,Hailie Deegan,Frd,Built Ford Tough,31.2404,19,30.628,13,30.854,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5226
40,4414,Thompson #,Dean Thompson #,Chv,Worldwide Express,31.2495263,20,30.601,12,31.101,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5226
