race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,pole_winner_laptime,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,race_purse,race_comments,attendance,radio_broadcaster,television_broadcaster,master_race_id,short_name
4673,1,2018,The Clash,2,TRUE,105,Daytona International Speedway,2018-02-11T15:00:00,2018-02-11T15:00:00,0001-01-01T00:00:00,187.5,187.5,75,75,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FS1,3222,Daytona
4674,1,2018,The Duel at Daytona 1,2,TRUE,105,Daytona International Speedway,2018-02-15T19:00:00,2018-02-15T19:00:00,0001-01-01T00:00:00,150,150,60,60,0,0,0,21,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FS1,3217,Daytona
4675,1,2018,The Duel at Daytona 2,2,TRUE,105,Daytona International Speedway,2018-02-15T19:00:00,2018-02-15T19:00:00,0001-01-01T00:00:00,150,150,60,60,0,0,0,21,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FS1,3218,Daytona
4676,1,2018,DAYTONA 500,1,TRUE,105,Daytona International Speedway,2018-02-18T14:30:00,2018-02-18T14:30:00,0001-01-01T00:00:00,500,500,200,200,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FOX,385,Daytona
4677,1,2018,Folds of Honor QuikTrip 500,1,FALSE,111,Atlanta Motor Speedway,2018-02-25T14:00:00,2018-02-25T14:00:00,0001-01-01T00:00:00,500.5,500.5,325,325,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,PRN,FOX,3335,Atlanta
4678,1,2018,Kobalt 400,1,FALSE,42,Las Vegas Motor Speedway,2018-03-04T15:30:00,2018-03-04T15:30:00,0001-01-01T00:00:00,400.5,400.5,267,267,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,PRN,FOX,1824,Las Vegas
4679,1,2018,Camping World 500,1,FALSE,84,ISM Raceway,2018-03-11T15:30:00,2018-03-11T15:30:00,0001-01-01T00:00:00,312,312,312,312,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FOX,2074,Phoenix
4680,1,2018,Auto Club 400,1,FALSE,38,Auto Club Speedway,2018-03-18T15:30:00,2018-03-18T15:30:00,0001-01-01T00:00:00,400,400,200,200,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FOX,1804,Auto Club
4681,1,2018,STP 500,1,FALSE,22,Martinsville Speedway,2018-03-25T14:00:00,2018-03-25T14:00:00,0001-01-01T00:00:00,263,263,500,500,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FS1,12,Martinsville
4682,1,2018,O'Reilly Auto Parts 500,1,FALSE,43,Texas Motor Speedway,2018-04-08T14:00:00,2018-04-08T14:00:00,0001-01-01T00:00:00,501,501,334,334,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,PRN,FS1,1795,Texas
4683,1,2018,Food City 500,1,FALSE,14,Bristol Motor Speedway,2018-04-15T14:00:00,2018-04-15T14:00:00,0001-01-01T00:00:00,266.5,266.5,500,500,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,PRN,FOX,588,Bristol
4684,1,2018,Toyota Owners 400,1,FALSE,26,Richmond Raceway,2018-04-21T18:30:00,2018-04-21T18:30:00,0001-01-01T00:00:00,300,300,400,400,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FOX,1555,Richmond
4685,1,2018,GEICO 500,1,TRUE,82,Talladega Superspeedway,2018-04-29T14:00:00,2018-04-29T14:00:00,0001-01-01T00:00:00,500.08,500.08,188,188,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FOX,957,Talladega
4686,1,2018,Go Bowling 400,1,FALSE,41,Kansas Speedway,2018-05-12T20:00:00,2018-05-12T20:00:00,0001-01-01T00:00:00,400.5,400.5,267,267,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FS1,3884,Kansas
4687,1,2018,Monster Energy NASCAR All-Star Race,2,FALSE,162,Charlotte Motor Speedway,2018-05-19T20:00:00,2018-05-19T20:00:00,0001-01-01T00:00:00,105,105,70,70,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FS1,3670,Charlotte
4688,1,2018,Monster Energy Open,2,FALSE,162,Charlotte Motor Speedway,2018-05-19T18:00:00,2018-05-19T18:00:00,0001-01-01T00:00:00,75,75,50,50,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FS1,3690,Charlotte
4689,1,2018,Coca-Cola 600,1,FALSE,162,Charlotte Motor Speedway,2018-05-27T18:00:00,2018-05-27T18:00:00,0001-01-01T00:00:00,600,600,400,400,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,PRN,FOX,447,Charlotte
4690,1,2018,AAA 400 Drive for Autism,1,FALSE,103,Dover International Speedway,2018-05-06T14:00:00,2018-05-06T14:00:00,0001-01-01T00:00:00,400,400,400,400,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FS1,922,Dover
4691,1,2018,Pocono 400,1,FALSE,198,Pocono Raceway,2018-06-03T14:00:00,2018-06-03T14:00:00,0001-01-01T00:00:00,400,400,160,160,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FS1,1358,Pocono
4692,1,2018,FireKeepers Casino 400,1,FALSE,133,Michigan International Speedway,2018-06-10T14:00:00,2018-06-10T14:00:00,0001-01-01T00:00:00,400,400,200,200,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FOX,917,Michigan
4693,1,2018,Toyota / Save Mart 350,1,FALSE,99,Sonoma Raceway,2018-06-24T15:00:00,2018-06-24T15:00:00,0001-01-01T00:00:00,218.9,218.9,110,110,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,PRN,FS1,1563,Sonoma
4694,1,2018,Coke Zero 400 Powered by Coca-Cola,1,TRUE,105,Daytona International Speedway,2018-07-07T19:00:00,2018-07-07T19:00:00,0001-01-01T00:00:00,400,400,160,160,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,NBC,408,Daytona
4695,1,2018,Quaker State 400 Presented by Advance Auto Parts,1,FALSE,61,Kentucky Speedway,2018-07-14T19:30:00,2018-07-14T19:30:00,0001-01-01T00:00:00,400.5,400.5,267,267,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,PRN,NBCSN,3889,Kentucky
4696,1,2018,New Hampshire 301,1,FALSE,138,New Hampshire Motor Speedway,2018-07-22T14:00:00,2018-07-22T14:00:00,0001-01-01T00:00:00,318.46,318.46,301,301,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,PRN,NBCSN,1683,New Hampshire
4697,1,2018,Brickyard 400,1,FALSE,123,Indianapolis Motor Speedway,2018-09-09T14:00:00,2018-09-09T14:00:00,0001-01-01T00:00:00,400,400,160,160,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,IMS,NBCSN,1716,Indy
4698,1,2018,Pennsylvania 400,1,FALSE,198,Pocono Raceway,2018-07-29T14:30:00,2018-07-29T14:30:00,0001-01-01T00:00:00,400,400,160,160,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,NBCSN,1122,Pocono
4699,1,2018,Monster Energy NASCAR Cup Series Race at The Glen,1,FALSE,157,Watkins Glen International,2018-08-05T14:30:00,2018-08-05T14:30:00,0001-01-01T00:00:00,220.5,220.5,90,90,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,NBC,1482,Watkins-Glen
4700,1,2018,Pure Michigan 400,1,FALSE,133,Michigan International Speedway,2018-08-12T14:30:00,2018-08-12T14:30:00,0001-01-01T00:00:00,400,400,200,200,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,NBCSN,930,Michigan
4701,1,2018,Bass Pro Shops NRA Night Race,1,FALSE,14,Bristol Motor Speedway,2018-08-18T19:30:00,2018-08-18T19:30:00,0001-01-01T00:00:00,266.5,266.5,500,500,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,PRN,NBCSN,612,Bristol
4702,1,2018,Bojangles' Southern 500,1,FALSE,4,Darlington Raceway,2018-09-02T18:00:00,2018-09-02T18:00:00,0001-01-01T00:00:00,501.32,501.32,367,367,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,NBCSN,442,Darlington
4703,1,2018,Federated Auto Parts 400,1,FALSE,26,Richmond Raceway,2018-09-22T19:30:00,2018-09-22T19:30:00,0001-01-01T00:00:00,300,300,400,400,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,NBCSN,1544,Richmond
4704,1,2018,Tales of the Turtles 400,1,FALSE,39,Chicagoland Speedway,2018-07-01T14:30:00,2018-07-01T14:30:00,0001-01-01T00:00:00,400.5,400.5,267,267,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,NBCSN,1976,Chicagoland
4705,1,2018,South Point 400,1,FALSE,42,Las Vegas Motor Speedway,2018-09-16T15:00:00,2018-09-16T15:00:00,0001-01-01T00:00:00,400,400,267,267,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,PRN,NBCSN,1824,Las Vegas
4706,1,2018,Monster Energy NASCAR Cup Series Race at Dover,1,FALSE,103,Dover International Speedway,2018-10-07T14:00:00,2018-10-07T14:00:00,0001-01-01T00:00:00,400,400,400,400,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,NBCSN,1038,Dover
4707,1,2018,Bank of America 500,1,FALSE,210,Charlotte Motor Speedway ROVAL,2018-09-30T14:00:00,2018-09-30T14:00:00,0001-01-01T00:00:00,500,500,130,130,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,PRN,NBC,4707,ROVAL
4708,1,2018,Alabama 500,1,TRUE,82,Talladega Superspeedway,2018-10-14T14:00:00,2018-10-14T14:00:00,0001-01-01T00:00:00,500.08,500.08,188,188,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,NBC,937,Talladega
4709,1,2018,Hollywood Casino 400,1,FALSE,41,Kansas Speedway,2018-10-21T14:00:00,2018-10-21T14:00:00,0001-01-01T00:00:00,400.5,400.5,267,267,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,NBC,1950,Kansas
4710,1,2018,Old Dominion 500,1,FALSE,22,Martinsville Speedway,2018-10-28T14:30:00,2018-10-28T14:30:00,0001-01-01T00:00:00,263,263,500,500,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,NBCSN,6,Martinsville
4711,1,2018,AAA Texas 500,1,FALSE,43,Texas Motor Speedway,2018-11-04T15:00:00,2018-11-04T15:00:00,0001-01-01T00:00:00,501,501,334,334,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,PRN,NBCSN,2100,Texas
4712,1,2018,Can-Am 500,1,FALSE,84,ISM Raceway,2018-11-11T14:30:00,2018-11-11T14:30:00,0001-01-01T00:00:00,312,312,312,312,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,NBC,1550,Phoenix
4713,1,2018,Ford EcoBoost 400,1,FALSE,40,Homestead-Miami Speedway,2018-11-18T14:30:00,2018-11-18T14:30:00,0001-01-01T00:00:00,400.5,400.5,267,267,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,NBC,1887,Homestead
