race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,race_comments,attendance,radio_broadcaster,television_broadcaster,master_race_id,pole_winner_laptime,short_name
4673,1,2018,Advance Auto Parts Clash,2,TRUE,105,Daytona International Speedway,2018-02-11T15:00:00,2018-02-11T15:00:00,2018-02-11T00:00:00,187.5,187.5,75,75,0,0,0,17,0,0,11,7,3,8,169.641,01:06:19,0.102,0,Brad Keselowski wins the season opening Clash at DAYTONA International Speedway,0,MRN,FS1,3222,NA,Daytona
4674,1,2018,Can-Am Duel 1,2,TRUE,105,Daytona International Speedway,2018-02-15T19:00:00,2018-02-15T19:00:00,1900-01-01T00:00:00,150,157.5,60,63,0,0,0,20,0,0,4,3,4,14,138.124,1:08:25,0.207,0,"Ryan Blaney won the Can-Am Duel #1 at Daytona International Speedway. Prior to the start of the race, the following cars dropped to the rear of the field under penalty: No. 38 (unapproved adjustments).",0,MRN,FS1,3217,NA,Daytona
4675,1,2018,Can-Am Duel 2,2,TRUE,105,Daytona International Speedway,2018-02-15T19:00:00,2018-02-15T19:00:00,1900-01-01T00:00:00,150,150,60,60,0,0,0,20,0,0,6,4,1,3,181.879,00:49:29,0.081,0,"Chase Elliott won the Can-Am Duel #2 at Daytona International Speedway. Prior to the start of the race, the following cars dropped to the rear of the field under penalty: Nos. 23, 32 (unapproved adjustments); No. 66 (missing drivers introduction).",0,MRN,FS1,3218,NA,Daytona
4676,1,2018,DAYTONA 500,1,TRUE,105,Daytona International Speedway,2018-02-18T14:30:00,2018-02-18T14:30:00,2018-02-11T00:00:00,500,517.5,200,207,60,60,87,40,4045,195.644,24,14,8,37,150.545,03:26:15,0.26,0,"Austin Dillon won the 60th running of the Daytona 500 at Daytona International Speedway, his second Monster Energy NASCAR Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field under penalty: Nos. 2, 3, 10, 24, 32, 42, 48, 92 (backup cars).",0,MRN,FOX,385,NA,Daytona
4677,1,2018,Folds of Honor QuikTrip 500,1,FALSE,111,Atlanta Motor Speedway,2018-02-25T13:00:00,2018-02-25T13:00:00,2018-02-23T00:00:00,500.5,500.5,325,325,85,85,155,36,454,184.652,24,8,5,28,143.068,03:29:54,2.69,0,"Kevin Harvick won the Folds of Honor QuikTrip 500 at Atlanta Motor Speedway, his 38th Monster Energy NASCAR Cup Series victory. Prior to the green flag, the following car dropped to the rear of the field under penalty for the reason indicated: #3 (rear gear change).",0,PRN,FOX,3335,NA,Atlanta
4678,1,2018,Pennzoil 400 presented by Jiffy Lube,1,FALSE,42,Las Vegas Motor Speedway,2018-03-04T15:30:00,2018-03-04T15:30:00,2018-03-02T00:00:00,400.5,400.5,267,267,80,80,107,37,4023,191.489,11,6,4,29,141.756,02:49:31,2.906,0,"Kevin Harvick won the Pennzoil 400 presented by Jiffy Lube at Las Vegas Motor Speedway, his 39th Monster Energy NASCAR Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for reasons indicated: #15, 48 (multiple inspection failures).",0,PRN,FOX,1824,NA,Las Vegas
4679,1,2018,TicketGuardian 500,1,FALSE,84,ISM Raceway,2018-03-11T15:30:00,2018-03-11T15:30:00,2018-03-09T00:00:00,312,312,312,312,75,75,162,37,3368,136.945,15,9,6,36,108.073,02:53:13,0.774,0,"Kevin Harvick won the TicketGuardian 500 at ISM Raceway, his 40th victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reason indicated: #00, #17 (backup car), #96 (unapproved tire change).",0,MRN,FOX,2074,NA,Phoenix
4680,1,2018,Auto Club 400,1,FALSE,38,Auto Club Speedway,2018-03-18T15:30:00,2018-03-18T15:30:00,2018-03-16T00:00:00,400,400,200,200,60,60,80,37,3368,186.567,16,7,5,21,147.526,02:42:41,11.685,0,"Martin Truex Jr. won the Auto Club 400 at Auto Club Speedway, his 16th Monster Energy NASCAR Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for reasons indicated: #23, 88 – engine, 19 – back up car and 34 – rear gear.",0,MRN,FOX,1804,NA,Auto Club
4681,1,2018,STP 500,1,FALSE,22,Martinsville Speedway,2018-03-25T14:00:00,2018-03-26T14:00:00,1900-01-01T00:00:00,263,263,500,500,130,130,240,38,0,0,11,6,4,33,81.663,03:13:14,1.146,0,"Clint Bowyer won the STP 500 at Martinsville Speedway, his ninth Monster Energy NASCAR Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: No. 17 (backup car), No. 23 (failed inspection three times) and No. 34 (unapproved adjustments).",0,MRN,FS1,12,NA,Martinsville
4682,1,2018,O'Reilly Auto Parts 500,1,FALSE,43,Texas Motor Speedway,2018-04-08T14:00:00,2018-04-08T14:00:00,2018-04-06T00:00:00,501,501,334,334,85,85,164,37,453,197.368,16,8,8,48,141.714,03:32:07,0.3,0,"Kyle Busch won the O'Reilly Auto Parts 500 at Texas Motor Speedway, his 44th Monster Energy NASCAR Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: #17 (backup car), #24 (engine change), #32 (transmissioon change) and #42 (failing pre-race inspection three times).",0,PRN,FS1,1795,NA,Texas
4683,1,2018,Food City 500,1,FALSE,14,Bristol Motor Speedway,2018-04-15T13:00:00,2018-04-16T13:00:00,2018-04-13T00:00:00,266.5,266.5,500,500,125,125,250,39,454,128.822,18,8,13,114,67.587,03:26:25,0.628,0,"Kyle Busch won the Food City 500 at Bristol Motor Speedway, his 45th Monster Energy NASCAR Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for reasons indicated: #4- back-up car, 41 - back-up car and 48 - unapproved tire change.",0,PRN,FOX,588,NA,Bristol
4684,1,2018,TOYOTA OWNERS 400,1,FALSE,26,Richmond Raceway,2018-04-21T18:30:00,2018-04-21T18:30:00,2018-04-20T00:00:00,300,301.5,400,402,100,100,202,38,3368,123.859,16,7,6,46,96.215,03:08:01,0.511,0,"Kyle Busch won the Toyota Owners 400 at Richmond Raceway, his 46th Monster Energy NASCAR Cup Series victory. Prior to the start of the race, no cars dropped to the rear of the field.",0,MRN,FOX,1555,NA,Richmond
4685,1,2018,GEICO 500,1,TRUE,82,Talladega Superspeedway,2018-04-29T14:00:00,2018-04-29T14:00:00,2018-04-28T00:00:00,500.08,500.08,188,188,55,55,78,40,1416,194.448,25,16,6,29,152.489,03:16:46,0.127,0,"Joey Logano won the GEICO 500 at Talladega Superspeedway, his 19th Monster Energy NASCAR Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: No. 1, 13, 19 and 31 (backup car), No. 9 (unapproved tire change) and No. 10 (unapproved adjustments).",0,MRN,FOX,957,NA,Talladega
