race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,race_comments,attendance,radio_broadcaster,television_broadcaster,master_race_id,inspection_complete,pole_winner_laptime,short_name
4770,1,2019,Advance Auto Parts Clash,2,TRUE,105,Daytona International Speedway,2019-02-10T15:00:00,2019-02-10T15:00:00,2019-02-10T00:00:00,187.5,147.5,75,59,0,0,0,20,2225,0,5,4,4,20,110.602,1:20:01,Under Caution,0,"Jimmie Johnson won the Advance Auto Parts Clash at Daytona International Speedway, his second victory in the non-points paying Monster Energy NASCAR Cup Series race. Prior to the start of the race, the following car(s) dropped to the rear of the field under penalty for the reasons indicated: 9, 11 (backup).",0,MRN,FS1,3222,TRUE,NA,Daytona
4771,1,2019,Gander RV Duel at DAYTONA 1,2,TRUE,105,Daytona International Speedway,2019-02-14T19:00:00,2019-02-14T19:00:00,2019-02-14T00:00:00,150,150,60,60,0,0,0,21,4184,0,2,3,1,3,177.749,0:50:38,.165,0,,0,MRN,FS1,3217,TRUE,NA,Daytona
4772,1,2019,Gander RV Duel at DAYTONA 2,2,TRUE,105,Daytona International Speedway,2019-02-14T19:00:00,2019-02-14T19:00:00,2019-02-14T00:00:00,150,150,60,60,0,0,0,21,4045,0,4,4,0,0,193.133,0:46:36,.126,0,,0,MRN,FS1,3218,TRUE,NA,Daytona
4773,1,2019,DAYTONA 500,1,TRUE,105,Daytona International Speedway,2019-02-17T14:30:00,2019-02-17T14:30:00,2019-02-17T00:00:00,500,517.5,200,207,60,60,87,40,4184,194.305,15,9,12,47,137.44,03:45:55,.138,0,"Denny Hamlin won the 61st running Daytona 500 at Daytona International Speedway, his 32nd victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following car(s) dropped to the rear of the field under penalty for the reasons indicated: Nos. 27, 42 (transmission), 40 (rear gear). ",0,MRN,FOX,385,TRUE,NA,Daytona
4774,1,2019,Folds of Honor QuikTrip 500,1,FALSE,111,Atlanta Motor Speedway,2019-02-24T14:00:00,2019-02-24T14:00:00,2019-02-22T00:00:00,500.5,500.5,325,325,85,85,155,37,40,181.473,26,9,5,30,142.626,3:30:33,.218,0,"Brad Keselowski won the Folds of Honor QuikTrip 500 at Atlanta Motor Speedway, his 28th Monster Energy NASCAR Cup Series victory. Prior to the start of the race the following cars dropped to the rear of the field under penalty for the reasons indicated: #18 (backup car), #77 (multiple inspection failures)",0,PRN,FOX,3335,TRUE,NA,Atlanta
4775,1,2019,Pennzoil 400 presented by Jiffy Lube,1,FALSE,42,Las Vegas Motor Speedway,2019-03-03T15:30:00,2019-03-03T12:30:00,2019-03-03T12:30:00,400.5,400.5,267,267,80,80,107,38,1416,180.517,19,9,2,12,154.849,2:35:11,.236,0,"Joey Logano won the Pennzoil 400 at Las Vegas Motor Speedway, his 22nd Monster Energy NASCAR Cup Series victory. Prior to the start of the race, the following car(s) dropped to the rear of the field under penalty for the reasons indicated: No. 00 (gear change) and 13 (engine change).",0,PRN,FOX,1824,TRUE,NA,Las Vegas
4776,1,2019,TicketGuardian 500,1,FALSE,84,ISM Raceway,2019-03-10T15:30:00,2019-03-10T12:30:00,2019-03-08T00:00:00,312,312,312,312,75,75,162,36,4023,141.287,17,6,9,57,101.693,3:04:05,1.259,0,"Kyle Busch won the 15th running of the TicketGuardian 500 at ISM Raceway, his 52nd victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following car(s) dropped to the rear of the field under penalty for the reasons indicated: None.",0,MRN,FOX,2074,TRUE,NA,Phoenix
4777,1,2019,Auto Club 400,1,FALSE,38,Auto Club Speedway,2019-03-17T15:30:00,2019-03-17T12:30:00,2019-03-17T12:30:00,400,400,200,200,60,60,80,38,3873,180.081,18,8,4,22,143.113,2:47:42,2.354,0,"Kyle Busch won the 23rd Annual Auto Club 400, his 53rd victory in 504 Monster Energy Cup Series races. Prior to the start of the race, the following car(s) dropped to the rear of the field under penalty for the reasons indicated: #36 (engine change) and #34 (twice failed inspection).",0,MRN,FOX,1804,TRUE,NA,Auto Club
4778,1,2019,STP 500,1,FALSE,22,Martinsville Speedway,2019-03-24T14:00:00,2019-03-24T14:00:00,2019-03-24T14:00:00,263,263,500,500,130,130,240,36,3859,97.83,3,3,7,56,78.158,3:21:54,.594,0,"Brad Keselowski won the 70th Annual STP 500 at Martinsville Speedway, his 29th victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Nos. 32, 51 (backup car); Nos. 24, 77, 52 (inspection failure). ",0,MRN,FS1,12,TRUE,NA,Martinsville
4779,1,2019,O'Reilly Auto Parts 500,1,FALSE,43,Texas Motor Speedway,2019-03-31T15:00:00,2019-03-31T15:00:00,2019-03-29T00:00:00,501,501,334,334,85,85,164,39,1717,188.89,26,13,5,29,153.224,03:16:11,2.743,0,"Denny Hamlin won the 23rd Annual O'Reilly Auto Parts 500 at Texas Motor Speedway, his 33rd victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following car(s) dropped to the rear of the field under penalty for the reasons indicated: No. 8 (back up car) and No. 6 (multiple (2) pre-race inspection failures). ",0,PRN,FOX,1795,TRUE,NA,Texas
