race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,tunein_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,race_comments,attendance,radio_broadcaster,television_broadcaster,master_race_id,inspection_complete,playoff_round,is_qualifying_race,qualifying_race_no,qualifying_race_id,has_qualifying,winner_driver_id,pole_winner_laptime,short_name
5006,1,2021,Busch Clash at DAYTONA,2,FALSE,212,DAYTONA Road Course,2021-02-09T19:00:00,2021-02-09T19:00:00,2021-02-09T19:00:00,2021-02-09T19:00:00,126.35,124.6,35,35,0,0,0,21,4023,0,13,8,4,8,83.845,1:30:25,.765,0,"Kyle Busch won the Busch Clash at DAYTONA Road Course, his second victory (2012, 2021) in the non-points paying NASCAR Cup Series race. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field for the reasons indicated: No. 9 (unapproved adjustment).  ",0,MRN,FS1,3222,TRUE,0,FALSE,0,-1,FALSE,454,NA,Daytona Road
5007,1,2021,Bluegreen Vacations Duel 1 at DAYTONA,2,TRUE,105,Daytona International Speedway,2021-02-11T19:00:00,2021-02-11T19:00:00,2021-02-11T19:00:00,2021-02-11T19:00:00,150,150,60,60,0,0,0,22,4045,0,9,5,0,0,191.966,0:46:53,.041,0,"Aric Almirola won the Bluegreen Vacations Duel 1 at Daytona International Speedway, his first victory in the NASCAR Cup Series qualifying races. Prior to the start of the race, the following vehicles dropped to the rear of the field for the reasons indicated: #8 (unapproved adjustments/transmission change). ",0,MRN,FS1,3217,TRUE,0,TRUE,1,-1,FALSE,40,NA,Daytona
5008,1,2021,Bluegreen Vacations Duel 2 at DAYTONA,2,TRUE,105,Daytona International Speedway,2021-02-11T21:00:00,2021-02-11T19:00:00,2021-02-11T20:45:00,2021-02-11T20:45:00,150,157.5,60,63,0,0,0,22,4184,0,14,6,2,8,158.071,0:59:47,.057,0,"Austin Dillon won the Bluegreen Vacations Duel 2 at Daytona International Speedway. His first victory in the NASCAR Cup Series qualifying races at Daytona. Prior to the start of the race, no cars dropped to the rear of the field. ",0,MRN,FS1,3218,TRUE,0,TRUE,2,-1,FALSE,3873,NA,Daytona
5009,1,2021,DAYTONA 500,1,TRUE,105,Daytona International Speedway,2021-02-14T14:30:00,2021-02-14T14:30:00,2021-02-14T14:30:00,2021-02-14T14:30:00,500,500,200,200,65,65,70,40,4045,191.262,22,13,7,40,144.416,3:27:44,Under Caution,0,"Michael McDowell has won the 63rd running of the DAYTONA 500 at Daytona International Speedway, his first victory in the NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reasons indicated: Nos. 23 (Multiple Inspection Failures), 43 (Engine Change), 19 (Radiator Change), 41, 24, 42, 2, 14, 16, 38 (Back Up Cars). ",0,MRN,FOX,385,TRUE,0,FALSE,0,-1,TRUE,3832,NA,Daytona
5020,1,2021,O’Reilly Auto Parts 253 At DAYTONA,1,FALSE,212,DAYTONA Road Course,2021-02-21T15:00:00,2021-02-21T15:00:00,1900-01-01T00:00:00,2021-02-21T15:00:00,253,252.7,70,70,16,18,36,40,0,0,12,7,8,12,84.452,2:59:32,2.119,0,"Christopher Bell has won the O’Reilly Auto Parts 253 At DAYTONA at the Daytona International Speedway Road Course, his first victory in the NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field for the reasons indicated: No. 43 (Engine change - Daytona 500), No. 77 (Multiple inspection failures), No. 53 (Unapproved adjustments).",0,MRN,FOX,4894,TRUE,0,FALSE,0,-1,FALSE,4153,NA,Daytona Road
5011,1,2021,Dixie Vodka 400,1,FALSE,40,Homestead-Miami Speedway,2021-02-28T15:30:00,2021-02-28T15:30:00,1900-01-01T00:00:00,2021-02-28T15:30:00,400,400.5,267,267,80,80,107,38,0,0,20,9,6,36,124.669,3:12:45,2.777,0,"William Byron won the Dixie Vodka 400 at Homestead-Miami Speedway, his second career NASCAR Cup Series victory. Prior to the start of the race the following cars dropped to the rear of the field for the reasons indicated: #15 (two inspection failures), 7, 11 and 48 (unapproved adjustments).",0,MRN,FOX,1887,TRUE,0,FALSE,0,-1,FALSE,4184,NA,Homestead
5010,1,2021,Pennzoil 400 presented by Jiffy Lube,1,FALSE,42,Las Vegas Motor Speedway,2021-03-07T15:30:00,2021-03-07T12:30:00,1900-01-01T00:00:00,2021-03-07T15:30:00,400.5,400.5,267,267,80,80,107,38,0,0,27,12,6,30,139.615,2:52:07,3.156,0,"Kyle Larson has won the Pennzoil 400 presented by Jiffy Lube at Las Vegas Motor Speedway, his seventh victory in the NASCAR Cup Series. Prior to the start of the race, no vehicle(s) dropped to the rear of the field under penalty.",0,PRN,FOX,1824,TRUE,0,FALSE,0,-1,FALSE,4030,NA,Las Vegas
5012,1,2021,Instacart 500,1,FALSE,84,Phoenix Raceway,2021-03-14T15:30:00,2021-03-14T12:30:00,1900-01-01T00:00:00,2021-03-14T15:30:00,312,312,312,312,75,115,122,38,0,0,22,9,7,45,103.808,3:00:20,1.698,0,"Martin Truex Jr. won the Instacart 500 at Phoenix Raceway, his 28th NASCAR Cup Series victory. Prior to the start of the race the following cars dropped to the rear of the field under penalty for the reasons indicated: #5, #24, #51 (multiple inspection failures), #53 (driver change), #9, #00 (unapproved adjustments).",0,MRN,FOX,2074,TRUE,0,FALSE,0,-1,FALSE,3368,NA,Phoenix
5013,1,2021,Folds of Honor QuikTrip 500,1,FALSE,111,Atlanta Motor Speedway,2021-03-21T15:00:00,2021-03-21T15:00:00,1900-01-01T00:00:00,2021-03-21T15:00:00,500,500.5,325,325,105,105,115,39,0,0,11,6,5,25,144.595,3:27:41,2.083,0,"Ryan Blaney won the 63rd running of the Folds of Honor QuikTrip 500 at Atlanta Motor Speedway, his fifth victory in the NASCAR Cup Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Nos. 9, 66 (multiple inspection failures), 00 (unapproved adjustments).",0,PRN,FOX,3335,TRUE,0,FALSE,0,-1,FALSE,4023,NA,Atlanta
5017,1,2021,Food City Dirt Race,1,FALSE,216,Bristol Motor Speedway Dirt,2021-03-28T15:30:00,2021-03-29T16:00:00,1900-01-01T00:00:00,2021-03-29T16:00:00,125,126.5,250,253,100,100,53,39,0,0,5,5,10,39,46.313,2:43:53,0.554,0,"Joey Logano has won the Food City Dirt Race at Bristol Motor Speedway Dirt, his 27th victory in the NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reason indicated: #5 (Engine Change), #21, #34 (Unapproved Adjustments). ",0,PRN,FOX,588,TRUE,0,FALSE,0,-1,TRUE,3859,NA,Bristol Dirt
5019,1,2021,Blue-Emu Maximum Pain Relief 500,1,FALSE,22,Martinsville Speedway,2021-04-10T19:30:00,2021-04-10T19:30:00,1900-01-01T00:00:00,2021-04-11T16:00:00,263,263,500,500,130,130,240,37,0,0,18,7,15,102,67.316,3:54:25,1.972,0,"Martin Truex Jr. won the Blue-Emu Maximum Pain Relief 500 at Martinsville Speedway, his 29th career NASCAR Cup Series victory. Prior to the start of the race, the following car dropped to the rear for the reason indicated: No. 8 (unapproved adjustments).",0,MRN,FS1,12,TRUE,0,FALSE,0,-1,FALSE,3368,NA,Martinsville
