race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,tunein_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,race_comments,attendance,radio_broadcaster,television_broadcaster,satellite_radio_broadcaster,master_race_id,inspection_complete,playoff_round,is_qualifying_race,qualifying_race_no,qualifying_race_id,has_qualifying,winner_driver_id,pole_winner_laptime,short_name
5184,2,2022,Beef. It's What's For Dinner. 300,1,TRUE,105,Daytona International Speedway,2022-02-19T17:00:00,2022-02-19T17:00:00,2022-02-19T17:00:00,2022-02-19T17:00:00,300,300,120,120,30,30,60,38,4093,182.849,18,9,6,28,136.605,2:11:46,Under Caution,0,"Austin Hill has won the Beef. It's What's For Dinner. 300 at Daytona International Speedway, his first career victory in the NASCAR Xfinity Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reason indicated: Nos. 1, 26, 35 (Unapproved Adjustments). ",0,MRN,FS1,SIRIUSXM,2131,TRUE,0,FALSE,0,-1,FALSE,4133,NA,Daytona
5185,2,2022,Production Alliance Group 300,1,FALSE,38,Auto Club Speedway,2022-02-26T17:00:00,2022-02-26T14:00:00,2022-02-26T14:00:00,2022-02-26T17:00:00,300,330,150,165,35,35,95,38,3774,179.829,19,8,12,58,105.682,3:05:05,.565,0,"Cole Custer has won the Production Alliance Group 300 at Auto Club Speedway, his 10th career victory in the NASCAR Xfinity Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reason(s) indicated: Nos. 26, 27, 34, 35, 44, 78 (Unapproved Adjustments), 38 (Driver Change), 28 (Engine Change). ",0,MRN,FS1,SIRIUSXM,5185,TRUE,0,FALSE,0,-1,FALSE,4104,NA,Auto Club
5186,2,2022,Alsco Uniforms 300,1,FALSE,42,Las Vegas Motor Speedway,2022-03-05T16:30:00,2022-03-05T13:30:00,2022-03-05T13:30:00,2022-03-05T16:30:00,300,300,200,200,45,45,110,38,3774,184.187,17,9,11,65,102.128,2:56:15,Under Caution,0,"Ty Gibbs won the Alsco Uniforms 300 at Las Vegas Motor Speedway, his fifth career NASCAR Xfinity Series victory. Prior to the start of the race, the following cars dropped to the rear under penalty for the reasons indicated: #2, 4, 10, 19, 21, 45, 48, 66, 68 and 99 (back up car), #5 (engine change), #6 (transmission change), and #27 and 91 (unapproved adjustments).",0,PRN,FS1,SIRIUSXM,2573,TRUE,0,FALSE,0,-1,FALSE,4368,NA,Las Vegas
5187,2,2022,United Rentals 200,1,FALSE,84,Phoenix Raceway,2022-03-12T16:30:00,2022-03-12T16:30:00,2022-03-12T14:30:00,2022-03-12T16:30:00,200,200,200,200,45,45,110,38,3883,131.839,16,6,4,33,98.698,2:01:35,2.555,0,"Noah Gragson won the 18th running of the United Rentals 200 at Phoenix Raceway, his sixth victory in the NASCAR Xfinity Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Nos. 1, 6, 7, 8, 99 (unapproved adjustments).",0,MRN,FS1,SIRIUSXM,2837,TRUE,0,FALSE,0,-1,FALSE,4224,NA,Phoenix
5188,2,2022,Nalley Cars 250,1,FALSE,111,Atlanta Motor Speedway,2022-03-19T17:00:00,2022-03-19T17:00:00,1900-01-01T00:00:00,2022-03-19T17:00:00,251,264.88,163,172,40,40,92,38,0,0,11,10,10,56,101.454,2:36:39,0.178,0,"Ty Gibbs won the FR8 208 at Atlanta Motor Speedway, his sixth career NASCAR Xfinity Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reason indicated: No. 5, 26, 38. 39 and 99 (unapproved adjustments).",0,PRN,FS1,SIRIUSXM,2432,TRUE,0,FALSE,0,-1,FALSE,4368,NA,Atlanta
5189,2,2022,Pit Boss 250,1,FALSE,214,Circuit of The Americas,2022-03-26T16:30:00,2022-03-26T15:30:00,2022-03-26T15:30:00,2022-03-26T16:30:00,156.86,157.596,48,46,14,16,16,38,4368,91.258,8,5,4,8,70.64,2:13:14,2.039,0,"AJ Allmendinger has won the Pit Boss 250 at the Circuit of The Americas, his 11th career victory in the NASCAR Xfinity Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reason(s) indicated: Nos: 02, 10, 19, 38, 39, 45, 66, 68 (unapproved adjustments). The 38 also missed driver introductions.",0,PRN,FS1,SIRIUSXM,5098,TRUE,0,FALSE,0,-1,FALSE,3774,NA,COTA
5190,2,2022,ToyotaCare 250,1,FALSE,26,Richmond Raceway,2022-04-02T13:30:00,2022-04-02T13:30:00,2022-04-02T13:30:00,2022-04-02T13:30:00,187.5,187.5,250,250,75,75,100,38,4368,121.836,8,3,3,24,95.299,1:58:03,0.116,0,"Ty Gibbs won the ToyotaCare 250 at Richmond Raceway, his seventh NASCAR Xfinity Series victory.  Prior to the start the following cars dropped to the rear of the field under penalty for the reason indicated: #11, #27, #66 (unapproved adjustments).",0,MRN,FS1,SIRIUSXM,2332,TRUE,0,FALSE,0,-1,FALSE,4368,NA,Richmond
5191,2,2022,Call 811 Before You Dig 250 Powered by Call811.com,1,FALSE,22,Martinsville Speedway,2022-04-08T19:30:00,2022-04-08T19:30:00,2022-04-08T19:30:00,2022-04-08T19:30:00,131.5,137.286,250,261,60,60,141,38,4368,95.985,12,7,16,100,56.099,2:26:50,0.677,0,"Brandon Jones has won the Call 811 Before You Dig 250 Powered by Call811.com at Martinsville Speedway, his 5th career victory in the NASCAR Xfinity Series Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reason(s) indicated: Nos. 26, 34, 44, 88, (Unapproved Adjustments).",0,MRN,FS1,SIRIUSXM,4916,TRUE,0,FALSE,0,-1,FALSE,4085,NA,Martinsville
5194,2,2022,Ag-Pro 300,1,TRUE,82,Talladega Superspeedway,2022-04-23T16:00:00,2022-04-23T15:00:00,2022-04-23T15:00:00,2022-04-23T16:00:00,300.58,329.84,113,124,25,25,74,38,3894,182.56,25,14,10,39,123.024,2:40:52,0.131,0,"Noah Gragson won the 31st running of the Ag-Pro 300 at Talladega Superspeedway, his seventh victory in the NASCAR Xfinity Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Nos. 5, 19, 44, 45, 53, 98, 08 (unapproved adjustments).",0,MRN,FOX,SIRIUSXM,2447,TRUE,0,FALSE,0,-1,FALSE,4224,NA,Talladega
5193,2,2022,A-GAME 200,1,FALSE,103,Dover Motor Speedway,2022-04-30T13:30:00,2022-04-30T13:30:00,2022-04-30T13:30:00,2022-04-30T13:30:00,200,200,200,200,45,45,110,38,4085,157.398,7,5,5,36,104.091,1:55:17,0.604,0,"Josh Berry has won the A-Game 200 at Dover Motor Speedway, his 3rd career victory in the NASCAR Xfinity Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reason(s) indicated: Nos. 02, 13, 31, 39, 44, 45, 51, 78 – Unapproved adjustments",0,MRN,FS1,SIRIUSXM,2141,TRUE,0,FALSE,0,-1,FALSE,4123,NA,Dover
5207,2,2022,Mahindra ROXOR 200,1,FALSE,4,Darlington Raceway,2022-05-07T13:30:00,2022-05-07T13:30:00,2022-05-07T13:30:00,2022-05-07T13:30:00,200.1,200.802,147,147,45,45,57,38,4368,0,13,6,8,33,107.589,1:51:59,0.259,0,"Justin Allgaier won the 3rd running of the Mahindra ROXOR 200 at Darlington Raceway, his 17th victory in the NASCAR Xfinity Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Nos. 13 (impound infraction), 18, 7 (unapproved adjustments).",0,MRN,FS1,SIRIUSXM,4970,TRUE,0,FALSE,0,-1,FALSE,34,NA,Darlington
5197,2,2022,SRS Distribution 250,1,FALSE,43,Texas Motor Speedway,2022-05-21T13:30:00,2022-05-21T12:30:00,2022-05-21T12:30:00,2022-05-21T13:30:00,250.5,250.5,167,167,40,40,87,38,4224,182.791,8,7,11,62,101.497,2:28:05,1.825,0,"Tyler Reddick has won the SRS Distribution 250 at Texas Motor Speedway, his 10th career victory in the NASCAR Xfinity Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty: Nos. 4, 6, 23, 45, 54, 68, 08 (Unapproved Adjustments), No. 34 (Driver Change), No. 10 (Backup Car). ",0,PRN,FS1,SIRIUSXM,2576,TRUE,0,FALSE,0,-1,FALSE,4065,NA,Texas
5195,2,2022,Alsco Uniforms 300,1,FALSE,162,Charlotte Motor Speedway,2022-05-28T13:00:00,2022-05-28T13:00:00,2022-05-28T13:00:00,2022-05-28T13:00:00,300,300,200,200,45,45,110,38,4327,179.892,12,5,8,44,117.557,2:33:07,18.039,0,"Josh Berry won the Alsco Uniforms 300, his fourth career NASCAR Xfinity Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: No. 07, 6, 18, 19, 26, and 54 (unapproved adjustments), and No. 98 (backup car).",0,PRN,FS1,SIRIUSXM,2143,TRUE,0,FALSE,0,-1,FALSE,4123,NA,Charlotte
5196,2,2022,Pacific Office Automation 147,1,FALSE,204,Portland International Raceway,2022-06-04T16:30:00,2022-06-04T13:30:00,2022-06-04T13:30:00,2022-06-04T16:30:00,147.52,142.5,75,75,25,25,25,38,4301,93.229,8,6,9,26,48.883,3:01:21,2.879,0,"AJ Allmendinger won the Pacific Office Automation 147 at Portland International Raceway, his 12th NASCAR Xfinity Series victory.  Prior to the start the following cars dropped to the rear of the field under penalty for the reason indicated: #6, #8, #16, #31, #38, #91 (unapproved adjustments), #9 (backup car), #39 (unapproved adjustments/missing driver introductions), #78 (missing driver introductions).",0,MRN,FS1,SIRIUSXM,5196,TRUE,0,FALSE,0,-1,FALSE,3774,NA,Portland
5198,2,2022,Tennessee Lottery 250,1,FALSE,52,Nashville Superspeedway,2022-06-25T15:30:00,2022-06-25T14:30:00,2022-06-25T14:30:00,2022-06-25T15:30:00,250.04,250.04,188,188,45,45,98,38,4269,156.665,13,5,5,27,119.319,2:05:44,4.513,0,"Justin Allgaier won the Tennessee Lottery 250 at Nashville Superspeedway, his 18th career NASCAR Xfinity Series victory. Prior to the start of the race, the following cars dropped to the Rear: #48 (engine change), #66 (unapproved adjustments).",0,MRN,USA,SIRIUSXM,5102,TRUE,0,FALSE,0,-1,FALSE,34,NA,Nashville
5200,2,2022,Henry 180,1,FALSE,34,Road America,2022-07-02T14:30:00,2022-07-02T13:30:00,2022-07-02T13:30:00,2022-07-02T14:30:00,182.16,194.304,45,48,10,10,28,38,4030,108.495,9,6,5,12,74.621,2:36:14,0.858,0,"Ty Gibbs won the Henry 180 at Road America, his eighth career NASCAR Xfinity Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: No. 4, 7, 8, 19, 16, 26, 27, 31, 34 and 38 (unappoved adjustments), and No. 34 (driver change).",0,MRN,USA,SIRIUSXM,3793,TRUE,0,FALSE,0,-1,FALSE,4368,NA,Road America
5201,2,2022,Alsco Uniforms 250,1,FALSE,111,Atlanta Motor Speedway,2022-07-09T17:00:00,2022-07-09T17:00:00,2022-07-09T17:00:00,2022-07-09T17:00:00,251,251.02,163,163,40,40,83,38,4368,0,17,7,6,28,128.071,1:57:36,.111,0,"Austin Hill has won the Alsco Uniforms 250 at Atlanta Motor Speedway, his 2nd career victory in the NASCAR Xfinity Series. No vehicles dropped to the rear prior to the start of the race.  ",0,PRN,USA,SIRIUSXM,2432,TRUE,0,FALSE,0,-1,FALSE,4133,NA,Atlanta
5202,2,2022,Crayon 200,1,FALSE,138,New Hampshire Motor Speedway,2022-07-16T14:30:00,2022-07-16T14:30:00,2022-07-16T14:30:00,2022-07-16T14:30:00,211.6,211.6,200,200,45,45,110,38,4123,127.163,15,10,9,56,86.24,2:27:13,3.869,0,"Justin Allgaier won the 28th running of the Crayon 200 at New Hampshire Motor Speedway, his 19th victory in the NASCAR Xfinity Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Nos. 8, 13, 36, 44, 51, 07, 08 (unapproved adjustments) and 66 (engine change).",0,PRN,USA,SIRIUSXM,5106,TRUE,0,FALSE,0,-1,FALSE,34,NA,New Hampshire
5199,2,2022,Explore The Pocono Mountains 225,1,FALSE,198,Pocono Raceway,2022-07-23T17:00:00,2022-07-23T17:00:00,2022-07-23T17:00:00,2022-07-23T17:00:00,225,225,90,90,20,20,50,38,34,168.669,9,8,5,18,123.438,1:49:22,0.281,0,"Noah Gragson has won the Explore the Pocono Mountains 225 at Pocono Raceway, his eighth career victory in the NASCAR Xfinity Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty: No. 66 (Engine Change).",0,MRN,USA,SIRIUSXM,4532,TRUE,0,FALSE,0,-1,FALSE,4224,NA,Pocono
5204,2,2022,Pennzoil 150 at The Brickyard,1,FALSE,211,Indianapolis Motor Speedway Road Course,2022-07-30T15:30:00,2022-07-30T15:30:00,2022-07-30T15:30:00,2022-07-30T15:30:00,151.2,151.218,62,62,20,20,22,38,3774,97.834,8,6,4,11,77.825,1:56:35,2.084,0,"A.J. Allmendinger won the 19th running of the Pennzoil 150 at the Brickyard at the Indianapolis Motor Speedway Road Course, his 13th victory in the NASCAR Xfinity Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: No. 4, 19, 23, 35, 47, 48, 68 (unapproved adjustments), 07, 88 (tire changes).",0,IMS,NBC,SIRIUSXM,4074,TRUE,0,FALSE,0,-1,FALSE,3774,NA,Indy Road
5205,2,2022,New Holland 250,1,FALSE,133,Michigan International Speedway,2022-08-06T15:30:00,2022-08-06T15:30:00,2022-08-06T00:00:00,2022-08-06T15:30:00,250,250,125,125,30,30,65,38,4224,190.37,12,9,4,19,141.621,1:45:55,1.160,0,"Ty Gibbs won the New Holland 250 at Michigan International Speedway, his ninth career NASCAR Xfinity Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: No. 4, 08 and 38 (unapproved adjustments), No. 02 and 78 (engine change).",0,MRN,USA,SIRIUSXM,5109,TRUE,0,FALSE,0,-1,FALSE,4368,NA,Michigan
5203,2,2022,Sunoco Go Rewards 200 at The Glen,1,FALSE,157,Watkins Glen International,2022-08-20T15:00:00,2022-08-20T15:00:00,2022-08-20T15:00:00,2022-08-20T15:00:00,200.9,200.9,82,82,20,20,42,38,4184,125.021,15,7,8,23,77.651,2:35:14,0.273,0,"Kyle Larson won the Sunoco Go Rewards 200 at Watkins Glen International, his 13th victory in the NASCAR Xfinity Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Nos. 08, 4, 5, 7, 38, 66, 78, 88 (Unapproved Adjustments).",0,MRN,USA,SIRIUSXM,5107,TRUE,0,FALSE,0,-1,FALSE,4030,NA,Watkins-Glen
