race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,pole_winner_laptime,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,race_purse,race_comments,attendance,radio_broadcaster,television_broadcaster,master_race_id,short_name
4565,3,2016,UNOH 200,1,FALSE,14,Bristol Motor Speedway,2016-08-17T20:30:00,2016-08-17T20:30:00,2016-08-17T00:00:00,106.6,106.6,200,200,32,4065,128.917,NA,7,5,9,55,74.387,01:25:59,0,"Ben Kennedy won the UNOH 200 at Bristol Motor Speedway, his first career NASCAR Camping World Truck Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reason indicated: #2 and #92 (unapproved adjustments) and #98 (backup car).",0,MRN,FS1,3105,Bristol
4554,3,2016,Alpha Energy Solutions 250,1,FALSE,22,Martinsville Speedway,2016-04-02T14:30:00,2016-04-02T14:30:00,2016-04-02T00:00:00,131.5,134.13,250,255,32,4107,96.322,NA,8,4,11,68,61.811,02:10:12,0,"Kyle Busch won the Alpha Energy Solutions 250 at Martinsville Speedway, his 45th NASCAR Camping World Truck Series victory. Prior to the start of the race, the following trucks dropped to the rear of the field for the reason indicated: No. 86 (missing drivers meeting); No. 44 (driver change, backup truck).",0,MRN,FS1,2913,Martinsville
4571,3,2016,Texas Roadhouse 200 presented by Alpha Energy Solutions,1,FALSE,22,Martinsville Speedway,2016-10-29T13:30:00,2016-10-29T13:30:00,2016-10-29T00:00:00,105.2,105.2,200,200,32,4062,96.254,NA,6,5,5,33,73.839,01:25:29,0,"Johnny Sauter won the Texas Roadhouse 200 Presented by Alpha Energy Solutions at Martinsville Speedway, his 12th career NASCAR Camping World Truck Series victory. Prior to the start of the race, the following trucks dropped to the rear of the field for the reason indicated: No. 1 and No. 50 (unapproved adjustments).",0,MRN,FS1,3112,Martinsville
4567,3,2016,American Ethanol E15 225,1,FALSE,39,Chicagoland Speedway,2016-09-16T20:30:00,2016-09-16T20:30:00,2016-09-16T00:00:00,225,226.5,150,151,32,4063,176.148,NA,10,5,10,41,108.648,02:05:05,0,"Kyle Busch won the American Ethanol e15 225 at Chicagoland Speedway, his 46th career NASCAR Camping World Truck Series victory. Prior to the start of the race, no trucks dropped to the rear of the field.",0,MRN,FS1,3714,Chicagoland
4574,3,2016,Ford EcoBoost 200,1,FALSE,40,Homestead-Miami Speedway,2016-11-18T20:00:00,2016-11-18T20:00:00,2016-11-18T00:00:00,201,201,134,134,32,4184,170.886,NA,15,5,4,18,129.747,01:32:57,0,"William Byron won the Ford EcoBoost 200 at Homestead-Miami Speedway, his seventh career NASCAR Camping World Truck Series victory. Prior to the start of the race, no trucks dropped to the rear of the field under penalty.",0,MRN,FS1,2918,Homestead
4555,3,2016,Toyota Tundra 250,1,FALSE,41,Kansas Speedway,2016-05-06T20:30:00,2016-05-06T20:30:00,2016-05-06T00:00:00,250.5,255,167,170,32,3855,177.253,NA,19,9,11,47,108.511,02:21:00,0,"William Byron won the Toyota Tundra 250 at Kansas Speedway, his first career NASCAR Camping World Truck Series victory. Prior to the start of the race, the following trucks dropped to the rear of the field for the reason indicated: No. 21 (unapproved adjustments), 23 (damage) and 81 (engine).",0,MRN,FS1,3055,Kansas
4569,3,2016,DC Solar 350,1,FALSE,42,Las Vegas Motor Speedway,2016-10-01T20:30:00,2016-10-01T20:30:00,2016-10-01T00:00:00,219,219,146,146,31,2550,175.953,NA,12,5,3,14,143.163,01:31:47,0,"Tyler Reddick won the DC Solar 350 at Las Vegas Motor Speedway, his third NASCAR Camping World Truck Series victory. Prior to the start of the race, no trucks dropped to the rear of the field.",0,MRN,FS1,2941,Las Vegas
4558,3,2016,Rattlesnake 400,1,FALSE,43,Texas Motor Speedway,2016-06-10T21:00:00,2016-06-10T21:00:00,2016-06-10T00:00:00,250.5,250.5,167,167,32,2911,180.024,NA,11,4,4,22,134.919,01:51:24,0,"William Byron won the Rattlesnake 400 at Texas Motor Speedway, his second NASCAR Camping World Truck Series victory. Prior to the start of the race, no trucks dropped to the rear of the field.",0,MRN,FS1,4095,Texas
4572,3,2016,Striping Technology 350,1,FALSE,43,Texas Motor Speedway,2016-11-04T20:30:00,2016-11-04T20:30:00,2016-11-04T00:00:00,220.5,220.5,147,147,32,4063,180.307,NA,7,4,3,12,148.291,01:29:13,0,"Johnny Sauter won the Striping Technology 350 at Texas Motor Speedway, his 13th career NASCAR Camping World Truck Series victory. Prior to the start of the race, the following trucks dropped to the rear of the field for the reason indicated: No. 44 (unapproved adjustments).",0,MRN,FS1,3018,Texas
4559,3,2016,Drivin For Linemen 200 Brought To You By Altec,1,FALSE,45,Gateway Motorsports Park,2016-06-25T20:30:00,2016-06-25T20:30:00,2016-06-25T00:00:00,200,200,100,160,32,0,0,NA,8,6,9,44,89.021,02:14:48,0,"Christopher Bell won the Drivin' for Linemen 200 at Gateway Motorsports Park, his second NASCAR Camping World Truck Series victory. Prior to the start of the race, the following truck dropped to the rear of the field for the reason indicated: No. 98 (backup truck).",0,MRN,FS1,4376,Gateway
