race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,race_comments,attendance,radio_broadcaster,television_broadcaster,master_race_id,inspection_complete,playoff_round,winner_driver_id,pole_winner_laptime,short_name
4942,3,2020,NextEra Energy 250,1,TRUE,105,Daytona International Speedway,2020-02-14T19:30:00,2020-02-14T19:30:00,2020-02-14T00:00:00,250,265,100,106,20,20,66,32,4269,181.657,15,7,5,26,127.319,2:04:53,0.010,0,"Grant Enfinger won the NextEra Energy 250 at Daytona International Speedway, his third victory in the NASCAR Gander RV & Outdoors Truck Series. Prior to the start of the race, the following truck(s) dropped to the rear of the field under penalty for the reasons indicated: Nos. 44, 33 (unapproved adjustments).",0,MRN,FS1,3020,TRUE,0,3978,NA,Daytona
4944,3,2020,Strat 200,1,FALSE,42,Las Vegas Motor Speedway,2020-02-21T21:00:00,2020-02-21T21:00:00,2020-02-21T21:00:00,201,201,134,134,30,30,74,32,2911,177.836,15,5,5,25,121.206,1:39:30,5.958,0,"Kyle Busch won the Strat 200 at Las Vegas Motor Speedway, his 57th Gander RV & Outdoors Truck Series victory. Prior to the start of the race the following trucks dropped to the rear of the field under penalty for the reasons indicated: #04 (engine change), #00, 83, 88 (unapproved adjustments).",0,MRN,FS1,4103,TRUE,0,454,NA,Las Vegas
4949,3,2020,North Carolina Education Lottery 200,1,FALSE,162,Charlotte Motor Speedway,2020-05-26T20:00:00,2020-05-26T20:00:00,1900-01-01T00:00:00,201,201,134,134,30,30,74,40,0,0,19,10,7,37,111.978,1:47:42,0.627,0,"Chase Elliott won the North Carolina Education Lottery 200 at Charlotte Motor Speedway, his third victory in the NASCAR Gander RV & Outdoors Truck Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reasons indicated: No. 28 (unapproved adjustments).",0,MRN,FS1,3094,TRUE,0,4062,NA,Charlotte
4981,3,2020,Vet Tix Camping World 200,1,FALSE,111,Atlanta Motor Speedway,2020-06-06T13:00:00,2020-06-06T13:00:00,1900-01-01T00:00:00,200,209.44,130,136,30,30,76,40,0,0,14,7,6,28,117.352,1:47:05,0.215,0,"Grant Enfinger won the Vet Tix Camping World 200 at Atlanta Motor Speedway, his fourth NASCAR Gander RV & Outdoors Truck Series victory. Prior to the start of the race no trucks dropped to the rear of the field.",0,MRN,FS1,4475,TRUE,0,3978,NA,Atlanta
4982,3,2020,Baptist Health 200,1,FALSE,40,Homestead-Miami Speedway,2020-06-13T19:30:00,2020-06-13T19:30:00,1900-01-01T00:00:00,201,201,134,134,75,110,-51,38,0,0,8,6,7,34,105.435,1:54:23,2.847,0,"Kyle Busch won the Baptist Health 200 at Homestead-Miami Speedway, his 58th victory in the NASCAR Gander RV & Outdoors Truck Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reasons indicated: No. 15 (unapproved adjustments), No. 02 (missing rookie meeting), No. 51 (L1 penalty in inspection).",0,MRN,FS1,2918,TRUE,0,454,NA,Homestead
4955,3,2020,Pocono Organics 150 to benefit Farm Aid,1,FALSE,198,Pocono Raceway,2020-06-27T12:30:00,2020-06-28T09:30:00,1900-01-01T00:00:00,150,150,60,60,15,15,30,40,0,0,8,5,9,29,94.077,1:35:40,0.864,0,"Brandon Jones won the Pocono Organics 150 at Pocono Raceway, his first NASCAR Gander RV & Outdoors Truck Series victory. Prior to the start of the race the following truck dropped to the rear of the field under penalty for the reason indicated: #44 (driver change).",0,MRN,FS1,3822,TRUE,0,4085,NA,Pocono
4954,3,2020,Buckle Up In Your Truck 225,1,FALSE,61,Kentucky Speedway,2020-07-11T18:00:00,2020-07-11T18:00:00,1900-01-01T00:00:00,225,106.5,150,71,35,35,1,40,0,0,6,5,7,25,97.956,1:05:14,Caution,0,"Sheldon Creed won the Buckle Up In Your Truck 225 at Kentucky Speedway, his first NASCAR Gander RV & Outdoors Truck Series victory. Prior to the start of the race the following trucks dropped to the rear of the field under penalty for the reason indicated: #14 (unapproved adjustments), #83 (missed rookie meeting), #13, #19, #99 (pre-race inspection infraction).",0,MRN,FS1,3994,TRUE,0,4204,NA,Kentucky
4989,3,2020,Vankor 350,1,FALSE,43,Texas Motor Speedway,2020-07-18T20:00:00,2020-07-18T19:00:00,1900-01-01T00:00:00,217,250.5,145,167,40,40,87,36,0,0,15,7,5,26,132.209,1:53:41,0.777,0,"Kyle Busch won the Vankor 250 at Texas Motor Speedway, his 59th victory in the NASCAR Gander RV & Outdoors Truck Series. Prior to the start of the race, no vehicle(s) dropped to the rear of the field under penalty.",0,MRN,FS1,4095,TRUE,0,454,NA,Texas
4990,3,2020,Blu-Emu Maximum Pain Relief 200,1,FALSE,41,Kansas Speedway,2020-07-24T19:00:00,2020-07-24T18:00:00,1900-01-01T00:00:00,200,201,134,134,30,30,74,38,0,0,17,8,4,19,126.349,1:35:27,2.928,0,"Austin Hill won the Blu-Emu Maximum Pain Relief 200 at Kansas Speedway, his fifth victory in the NASCAR Gander RV & Outdoors Truck Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reasons indicated: No. 28 (unapproved adjustments), No. 49 (missing rookie meeting).  ",0,MRN,FS1,3055,TRUE,0,4133,NA,Kansas
4991,3,2020,e.p.t 200,1,FALSE,41,Kansas Speedway,2020-07-25T13:30:00,2020-07-25T12:30:00,1900-01-01T00:00:00,200,201,134,134,30,30,74,37,0,0,15,9,9,38,102.016,1:58:13,0.324,0,"Matt Crafton won the e.p.t. 200 at Kansas Speedway, his 15th victory in the NASCAR Gander RV & Outdoors Truck Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reasons indicated: Nos. 2, 3, 11, 52 (backup trucks), No. 45 (transmission change), Nos. 00, 33, 40, 56  (driver change).",0,MRN,FS1,3055,TRUE,0,694,NA,Kansas
4995,3,2020,Henry Ford Health System 200,1,FALSE,133,Michigan International Speedway,2020-08-07T18:00:00,2020-08-07T18:00:00,1900-01-01T00:00:00,200,214,100,107,20,20,67,39,0,0,16,13,11,51,96.918,2:12:29,.318,0,"Zane Smith won the Henry Ford Health System 200 at Michigan International Speedway, his first victory in the NASCAR Gander RV & Outdoors Truck Series. Prior to the start of the race, no vehicle(s) dropped to the rear of the field under penalty. ",0,MRN,FS1,3010,TRUE,0,4272,NA,Michigan
4996,3,2020,Sunoco 159,1,FALSE,212,Daytona International Speedway Road Course,2020-08-16T12:00:00,2020-08-16T12:00:00,1900-01-01T00:00:00,153,163.76,43,46,12,13,21,38,0,0,10,6,5,7,81.435,2:02:21,0.743,0,"Sheldon Creed won the Sunoco 159 at the Daytona International Speedway Road Course, his second victory in the NASCAR Gander RV & Outdoors Truck Series. Prior to the start of the race, no vehicle(s) dropped to the rear of the field under penalty.",0,MRN,FS1,4996,TRUE,0,4204,NA,Daytona Road
4997,3,2020,KDI Office Technology 200,1,FALSE,103,Dover International Speedway,2020-08-21T17:00:00,2020-08-21T17:00:00,1900-01-01T00:00:00,200,200,200,200,45,45,110,35,0,0,13,10,5,27,110.752,1:48:21,0.989,0,"Zane Smith won the KDI Office Technology 200 at Dover International Speedway, his second victory in the NASCAR Gander RV & Outdoors Truck Series. Prior to the start of the race, no trucks dropped to the rear of the field under penalty.",0,MRN,FS1,3041,TRUE,0,4272,NA,Dover
4952,3,2020,CarShield 200 Presented by CK Power,1,FALSE,45,World Wide Technology Raceway at Gateway,2020-08-30T12:00:00,2020-08-30T11:00:00,1900-01-01T00:00:00,200,200,160,160,55,55,50,33,0,0,7,5,5,23,99.682,2:00:23,0.881,0,"Sheldon Creed won the CarShield 200 Presented by CK Power at World Wide Technology Raceway at Gateway, his third victory in the NASCAR Gander RV & Outdoors Truck Series. Prior to the start of the race no vehicle(s) dropped to the rear of the field under penalty. ",0,MRN,FS1,4376,TRUE,0,4204,NA,Gateway
5002,3,2020,South Carolina Education Lottery 200,1,FALSE,4,Darlington Raceway,2020-09-06T14:00:00,2020-09-06T14:00:00,1900-01-01T00:00:00,200.8,207.63,147,152,45,45,62,34,0,0,11,5,7,35,109.536,1:53:44,0.785,0,"Ben Rhodes won the South Carolina Education Lottery 200 at Darlington Raceway, his third NASCAR Gander RV & Outdoors Truck Series victory. Prior to the start of the race no trucks were sent to the rear of the field. ",0,MRN,FS1,3055,TRUE,0,4107,NA,Darlington
5004,3,2020,ToyotaCare 250,1,FALSE,26,Richmond Raceway,2020-09-10T20:00:00,2020-09-10T20:00:00,1900-01-01T00:00:00,187,187.5,250,250,70,70,110,36,0,0,8,6,4,37,94.551,1:58:59,1.033,0,"Grant Enfinger won the ToyotaCare 250 at the Richmond Raceway, his fifth victory in the NASCAR Gander RV & Outdoors Truck Series. Prior to the start of the race, no vehicle(s) dropped to the rear of the field under penalty.",0,MRN,FS1,5004,TRUE,1,3978,NA,Richmond
4958,3,2020,UNOH 200 presented by Ohio Logistics,1,FALSE,14,Bristol Motor Speedway,2020-09-17T19:30:00,2020-09-17T19:30:00,1900-01-01T00:00:00,106.6,106.6,200,200,55,55,90,36,0,0,4,3,5,41,82.053,1:17:57,4.413,0,"Sam Mayer won the UNOH 200 presented by Ohio Logistics at Bristol Motor Speedway, his first win in the NASCAR Gander RV & Outdoors Truck Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty: No. 10 (unapproved adjustments).  ",0,MRN,FS1,3105,TRUE,1,4327,NA,Bristol
4960,3,2020,World of Westgate 200,1,FALSE,42,Las Vegas Motor Speedway,2020-09-25T21:00:00,2020-09-25T18:00:00,1900-01-01T00:00:00,201,201,134,134,30,30,74,36,0,0,4,4,5,25,119.861,1:40:37,0.546,0,"Austin Hill won the World of Westgate 200 at Las Vegas Motor Speedway, his sixth NASCAR Gander RV & Outdoors Truck Series victory. Prior to the start of the race, no trucks were sent to the rear of the field.",0,MRN,FS1,2941,TRUE,1,4133,NA,Las Vegas
4961,3,2020,Chevrolet Silverado 250,1,TRUE,82,Talladega Superspeedway,2020-10-03T13:00:00,2020-10-03T12:00:00,1900-01-01T00:00:00,250.04,250.04,94,94,20,20,54,38,0,0,14,10,6,25,129.424,1:55:55,Caution,0,"Raphael Lessard won the Chevrolet Silverado 250 at Talladega Superspeedway, his first career Gander RV & Outdoors Truck Series victory. Prior to the start of the race, no trucks were sent to the rear of the field.",0,MRN,FS1,3198,TRUE,2,4306,NA,Talladega
5003,3,2020,Clean Harbors 200,1,FALSE,41,Kansas Speedway,2020-10-17T16:00:00,2020-10-17T15:00:00,1900-01-01T00:00:00,201,208.5,134,139,30,30,79,36,0,0,13,9,4,24,119.942,1:44:18,0.111,0,"Brett Moffitt won the Clean Harbors 200 at Kansas Speedway, his 12th victory in the NASCAR Gander RV & Outdoors Truck Series. Prior to the start of the race, no vehicle(s) dropped to the rear of the field under penalty. ",0,MRN,FOX,3055,TRUE,2,4038,NA,Kansas
5005,3,2020,SpeedyCash.com 400,1,FALSE,43,Texas Motor Speedway,2020-10-25T12:00:00,2020-10-25T11:00:00,1900-01-01T00:00:00,220.5,228,147,152,35,35,82,37,0,0,14,6,10,49,106.875,2:08:00,Caution,0,"Sheldon Creed won the SpeedyCash.com 400 at Texas Motor Speedway, his fourth career NASCAR Gander RV & Outdoors Truck Series victory. Prior to the start of the race, no trucks dropped to the rear of the field.",0,MRN,FS1,5005,TRUE,2,4204,NA,Texas
4962,3,2020,"NASCAR Hall of Fame 200",1,FALSE,22,Martinsville Speedway,2020-10-30T20:00:00,2020-10-30T20:00:00,1900-01-01T00:00:00,105.2,105.2,200,200,50,50,100,37,0,0,16,9,11,82,52.403,2:00:27,0.803,0,"Grant Enfinger won the NASCAR Hall of Fame 200 at Martinsville Speedway, his sixth victory in the NASCAR Gander RV & Outdoors Truck Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reasons indicated: Nos. 00, 33 (driver change). ",0,MRN,FS1,3112,TRUE,3,3978,NA,Martinsville
