race_id,series_id,race_season,rr_id
4389,1,2015,01
4385,1,2015,02
4407,1,2015,03
4387,1,2015,04
4416,1,2015,05
4390,1,2015,06
4409,1,2015,07
4386,1,2015,08
4410,1,2015,09
4419,1,2015,10
4392,1,2015,11
4413,1,2015,12
4384,1,2015,13
4388,1,2015,14
4417,1,2015,15
4400,1,2015,16
4391,1,2015,17
4415,1,2015,18
4383,1,2015,19
4418,1,2015,20
4399,1,2015,21
4396,1,2015,22
4412,1,2015,23
4382,1,2015,24
4401,1,2015,25
4408,1,2015,26
4403,1,2015,27
4398,1,2015,28
4406,1,2015,29
4402,1,2015,30
4411,1,2015,31
4405,1,2015,32
4395,1,2015,33
4414,1,2015,34
4397,1,2015,35
4404,1,2015,36
4426,2,2015,01
4423,2,2015,02
4442,2,2015,03
4427,2,2015,04
4444,2,2015,05
4433,2,2015,06
4424,2,2015,07
4437,2,2015,08
4445,2,2015,09
4452,2,2015,10
4448,2,2015,11
4422,2,2015,12
4425,2,2015,13
4450,2,2015,14
4434,2,2015,15
4446,2,2015,16
4441,2,2015,17
4428,2,2015,18
4421,2,2015,19
4451,2,2015,20
4431,2,2015,21
4447,2,2015,22
4420,2,2015,23
4435,2,2015,24
4443,2,2015,25
4438,2,2015,26
4432,2,2015,27
4436,2,2015,28
4440,2,2015,29
4430,2,2015,30
4449,2,2015,31
4429,2,2015,32
4439,2,2015,33
4465,3,2015,01
4454,3,2015,02
4471,3,2015,03
4467,3,2015,04
4474,3,2015,05
4455,3,2015,06
4469,3,2015,07
4458,3,2015,08
4472,3,2015,09
4459,3,2015,10
4460,3,2015,11
4470,3,2015,12
4473,3,2015,13
4457,3,2015,14
4453,3,2015,15
4475,3,2015,16
4464,3,2015,17
4468,3,2015,18
4456,3,2015,19
4463,3,2015,20
4461,3,2015,21
4462,3,2015,22
4466,3,2015,23
4507,1,2016,01
4488,1,2016,02
4506,1,2016,03
4515,1,2016,04
4486,1,2016,05
4489,1,2016,06
4508,1,2016,07
4485,1,2016,08
4509,1,2016,09
4518,1,2016,10
4513,1,2016,11
4491,1,2016,12
4483,1,2016,13
4487,1,2016,14
4516,1,2016,15
4500,1,2016,16
4490,1,2016,17
4514,1,2016,18
4517,1,2016,19
4484,1,2016,20
4498,1,2016,21
4511,1,2016,22
4495,1,2016,23
4481,1,2016,24
4499,1,2016,25
4482,1,2016,26
4502,1,2016,27
4497,1,2016,28
4505,1,2016,29
4510,1,2016,30
4501,1,2016,31
4504,1,2016,32
4512,1,2016,33
4494,1,2016,34
4496,1,2016,35
4503,1,2016,36
4542,2,2016,01
4540,2,2016,02
4525,2,2016,03
4526,2,2016,04
4543,2,2016,05
4541,2,2016,06
4523,2,2016,07
4544,2,2016,08
4551,2,2016,09
4548,2,2016,10
4521,2,2016,11
4524,2,2016,12
4549,2,2016,13
4545,2,2016,14
4534,2,2016,15
4539,2,2016,16
4527,2,2016,17
4522,2,2016,18
4550,2,2016,19
4546,2,2016,20
4530,2,2016,21
4533,2,2016,22
4519,2,2016,23
4520,2,2016,24
4536,2,2016,25
4531,2,2016,26
4535,2,2016,27
4538,2,2016,28
4547,2,2016,29
4529,2,2016,30
4532,2,2016,31
4528,2,2016,32
4537,2,2016,33
4565,3,2016,01
4554,3,2016,02
4571,3,2016,03
4567,3,2016,04
4574,3,2016,05
4555,3,2016,06
4569,3,2016,07
4558,3,2016,08
4572,3,2016,09
4559,3,2016,10
4561,3,2016,11
4570,3,2016,12
4573,3,2016,13
4557,3,2016,14
4552,3,2016,15
4553,3,2016,16
4564,3,2016,17
4568,3,2016,18
4556,3,2016,19
4563,3,2016,20
4560,3,2016,21
4562,3,2016,22
4566,3,2016,23
4676,1,2018,01
4677,1,2018,02
4678,1,2018,03
4679,1,2018,04
4680,1,2018,05
4681,1,2018,06
4682,1,2018,07
4683,1,2018,08
4684,1,2018,09
4685,1,2018,10
4686,1,2018,11
4689,1,2018,12
4690,1,2018,13
4691,1,2018,14
4692,1,2018,15
4693,1,2018,16
4694,1,2018,17
4695,1,2018,18
4696,1,2018,19
4697,1,2018,20
4698,1,2018,21
4699,1,2018,22
4700,1,2018,23
4701,1,2018,24
4702,1,2018,25
